,source,descriptionPolarity
1,Breitbart,0.013051972344901635
2,CNN,0.02519906243696567
6,NPR,0.026365199615199616
0,BBC,0.030543981481481495
3,Daily Mail,0.038856207551074474
7,New York Times,0.0412279328236775
4,Drudge Report,0.04936672278338943
5,Fox,0.049717171717171736
8,Vox,0.064824463897827
9,Wall Street Journal,0.06568858976671477
